Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
461,053-0162,24,24,48.132487450000000,-103.722886880000000
462,053-0163,9,9,48.150927460000000,-103.846943850000000
463,053-0164,6,6,48.144787440000000,-103.608059910000000
464,053-0166,727,727,48.126623460000000,-103.857905850000000
465,053-0167,10,10,48.151496440000000,-103.587872910000000
466,053-0168,500,500,48.141110450000000,-103.709485880000000
467,005-0001,14,14,48.806256000000000,-100.543623000000000
468,005-0002,25,25,48.986451000000000,-100.379650000000000
469,005-0003,18,18,48.826342000000000,-100.445784000000000
470,005-0004,96,96,48.807614000000000,-100.445846000000000
471,007-0002,24,24,48.758729910000000,-102.319893530000000
472,007-0003,10,10,48.879722000000000,-102.515776000000000
473,051-0036,96,96,48.212352000000000,-101.263156000000000
474,051-0037,4,4,48.213175000000000,-101.187915000000000
475,051-0038,138,138,48.225866000000000,-101.728180000000000
476,051-0039,100,100,48.213258000000000,-101.317622000000000
477,051-0040,310,310,48.202321000000000,-101.287895000000000
478,053-0114,98,98,48.156939000000000,-103.652677000000000
479,053-0118,88,88,48.179593000000000,-103.627905000000000
480,053-0121,100,100,48.140320000000000,-103.841517000000000
481,053-0032,300,300,48.136802000000000,-103.847139000000000
482,005-0011,UNKNOWN,UNK,48.909585870000000,-101.016166020000000
